open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2025-12-13 04:00:00+00:00,90269.74,90446.92,90267.46,90351.66,0.14197,2025-12-13 04:59:59.999000+00:00,12826.3631323,87,0.0707,6392.1385178
2025-12-13 05:00:00+00:00,90440.88,90440.88,90217.71,90225.03,0.00904,2025-12-13 05:59:59.999000+00:00,816.8256255,29,0.00538,486.3817046
2025-12-13 06:00:00+00:00,90395.89,90446.87,90235.4,90440.72,0.02298,2025-12-13 06:59:59.999000+00:00,2076.5778515,27,0.01438,1300.314117
2025-12-13 07:00:00+00:00,90438.48,90438.48,90333.0,90333.05,0.01308,2025-12-13 07:59:59.999000+00:00,1181.8819742,18,0.00202,182.671823
2025-12-13 08:00:00+00:00,90403.41,90580.57,90381.23,90554.46,0.02322,2025-12-13 08:59:59.999000+00:00,2100.2253949,21,0.02311,2090.2834596
2025-12-13 09:00:00+00:00,90412.57,90549.06,90339.05,90376.77,0.00476,2025-12-13 09:59:59.999000+00:00,430.6344343,11,0.00247,223.5925855
2025-12-13 10:00:00+00:00,90510.01,90681.45,90502.37,90681.45,0.0047,2025-12-13 10:59:59.999000+00:00,425.5388828,8,0.00463,419.2037169
2025-12-13 11:00:00+00:00,90663.61,90663.61,90387.01,90387.01,0.04308,2025-12-13 11:59:59.999000+00:00,3895.4882834,23,0.00389,352.6469232
2025-12-13 12:00:00+00:00,90525.96,90677.81,90343.47,90550.03,0.0248,2025-12-13 12:59:59.999000+00:00,2243.0481341,21,0.00911,825.0820284
2025-12-13 13:00:00+00:00,90523.28,90523.28,90208.53,90405.56,0.04259,2025-12-13 13:59:59.999000+00:00,3848.3122507,27,0.00342,309.5054483
2025-12-13 14:00:00+00:00,90393.24,90393.24,89985.12,90053.9,0.14296,2025-12-13 14:59:59.999000+00:00,12881.442783,36,0.0402,3625.8345482
2025-12-13 15:00:00+00:00,90271.87,90416.79,90035.46,90242.05,0.11099,2025-12-13 15:59:59.999000+00:00,10002.0679555,40,0.01716,1549.689376
2025-12-13 16:00:00+00:00,90236.31,90262.48,90050.05,90180.75,0.16272,2025-12-13 16:59:59.999000+00:00,14675.3398668,34,0.15301,13800.9347089
2025-12-13 17:00:00+00:00,90178.49,90179.0,89990.4,90125.28,0.39342,2025-12-13 17:59:59.999000+00:00,35429.3206352,35,0.0239,2154.2035652
2025-12-13 18:00:00+00:00,90124.66,90309.74,89951.17,90228.62,0.99876,2025-12-13 18:59:59.999000+00:00,89930.5684637,40,0.03143,2833.3737078
2025-12-13 19:00:00+00:00,90226.88,90316.88,90087.47,90278.53,0.0556,2025-12-13 19:59:59.999000+00:00,5015.9059568,25,0.05341,4818.6079459
2025-12-13 20:00:00+00:00,90277.68,90293.39,90064.03,90289.57,0.0251,2025-12-13 20:59:59.999000+00:00,2263.4359517,33,0.0124,1119.1225013
2025-12-13 21:00:00+00:00,90054.23,90277.64,89822.51,89936.47,0.66743,2025-12-13 21:59:59.999000+00:00,60106.3427354,49,0.08623,7769.4964842
2025-12-13 22:00:00+00:00,90222.6,90319.58,89991.26,90242.05,0.0893,2025-12-13 22:59:59.999000+00:00,8053.7765187,45,0.06129,5532.5070016
2025-12-13 23:00:00+00:00,90241.07,90298.9,90055.57,90298.85,0.04841,2025-12-13 23:59:59.999000+00:00,4367.4288321,38,0.04213,3801.8776794
2025-12-14 00:00:00+00:00,90298.72,90463.27,89947.14,90306.02,0.13723,2025-12-14 00:59:59.999000+00:00,12389.8456355,69,0.10731,9691.1010954
2025-12-14 01:00:00+00:00,90350.0,90463.26,90210.94,90416.79,0.08365,2025-12-14 01:59:59.999000+00:00,7565.1165494,38,0.07266,6572.7239103
2025-12-14 02:00:00+00:00,90406.52,90406.52,90215.39,90246.24,0.13076,2025-12-14 02:59:59.999000+00:00,11818.4464461,35,0.12755,11528.7785973
2025-12-14 03:00:00+00:00,90362.9,90362.9,90160.92,90317.46,0.3682,2025-12-14 03:59:59.999000+00:00,33224.9108231,21,0.14418,13026.9892108
